Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acradenia frankliniae,,,,,Royal Botanic Gardens Melbourne,http://www.rbg.vic.gov.au/dbpages/rbgcensus/index.php/census/species_detail/11537,Tasmania,extra points outside of range,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenandra uniflora,,,,,PlantZAfrica.com ,http://www.plantzafrica.com/plantab/adenanduni.htm,Adenandra uniflora occurs on the sandstone slopes of the southwestern Cape mountains from the Cape Peninsula to the Kleinrivier Mountains.,,fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenostoma fasciculatum,,,,,US forest service,http://www.fs.fed.us/database/feis/plants/shrub/adefas/all.html,Native to CA and Mexico,exclude two Canadian points,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegopodium podagraria,,,,,US forest service,http://www.fs.fed.us/database/feis/plants/forb/aegpod/all.html,introduced in North America from Europe but native distribution is unclear. ,,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agonis flexuosa,,,,,Weeds of Australia,http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/html/Agonis_flexuosa.htm,Native to the coastal districts of south-western Western Australia. Naturalised beyond its native range in Western Australia and sparingly naturalised in southern Victoria.,,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alectoria ochroleuca,,,,,consortium of lichen herbaria of north Am; Vistnis 2008,,CLHNA: native to Nam arctic; primary literature: def native to nroway,global distribution too heterogeneous,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyxia buxifolia,,,,,NEW SOUTH WALES FLORA ONLINE,http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Alyxia~buxifolia,NSW Vic. Tas. W.A. S.A.,4 points north of described range,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anagyris foetida,,,,AH: missing libya so southern RL in eastern portion mightbe too high,Hortipedia,http://en.hortipedia.com/wiki/Anagyris_foetida,"Anagyris foetida is native to France, the Iberian Peninsula, the Apennine Peninsula, Turkey, the Eastern Mediterranean, Northwest Africa and Libya.",2 erroneous points south of equator,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaptychia leucomelaena,,,,,,,,too few points too sperarate around globe,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisotome imbricata,,,,,New Zealand flora,http://www.nzflora.info/factsheet/Taxon/Anisotome_imbricata_var_imbricata.html,endemic to NZ,,fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anopterus glandulosus,,,,,Australian National Herbarium,https://www.anbg.gov.au/gnp/interns-2003/anopterus-glandulosus.html,endemic to Tasmania,2 points north of Tasmania to remove,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyrotegium mackayi,,,,,"New Zealand flora, NEW SOUTH WALES FLORA ONLINE","http://www.nzpcn.org.nz/flora_details.aspx?ID=1485, and http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Argyrotegium~mackayi","NZ, Vic., Tas. ","range looks good given both range descriptions, one point in mid-Australia to remove",excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia californica,,,,,US forest service,http://www.fs.fed.us/database/feis/plants/shrub/artcal/all.html,"California sagebrush is endemic to California [60,107,155,156] and Baja California [118,204,210]. The distribution of California sagebrush is categorized within 4 major floristic associations. The floristic associations and their ranges are as follows: 1) Diablan: found from San Francisco region south to northern Santa Barbara County; 2) Venturan: a coastal group found from northern Santa Barbara County south through coastal Los Angeles County; 3) Riversidian: a cismontane inland group found from inland Los Angeles County, western Riverside County, and inland San Diego County; and 4) Diegan: a Baja-influenced group found from Orange County and coastal San Diego County south into northwestern Baja California [13,204]. California sagebrush distribution and occurrence is greatest in the Riversidian floristic association [202]. California sagebrush also occurs on some of the Channel Islands (Santa Clemente, Santa Catalina, Santa Cruz, San Miguel, San Nicholas, and Santa Rosa ) [146,155,169,205]. In Baja California, California sagebrush extends 200 miles (325 km) south of the Mexican border to approximately El Rosario [5,51,118,204]. Plants Database provides a distributional map of California sagebrush. ","point in south America to remove, also remove island occurance as not in range description",excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asarum europaeum,,,,,"Wikipedia sources: Tutin, T.G.; V. H. Heywood; N. A. Burges; D. H. Valentine; S. M. Walters; D. A. Webb (ed.). ""Asarum europaeum"". Flora Europaea. Cambridge University Press.",https://en.wikipedia.org/wiki/Asarum_europaeum,"Asarum europaeum has a wide distribution in Europe. It ranges from southern Finland and northern Russia south to southern France, Italy, Croatia, Bosnia and Herzegovina and the Republic of Macedonia. It is absent from the British Isles and Scandinavia with the exception of southern Finland, and also from northwestern Germany[3] and the Netherlands. Within Europe, the plant is grown outside of its range in the United Kingdom, Denmark, Sweden, Norway and the Netherlands.[4]","too many points outside of described native range, plus southern end of range is poorly represented.",remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astartea fascicularis,,,,,Australian National Herbarium,https://www.anbg.gov.au/gnp/gnp2/astartea-fascicularis.html,south western corner of Australia,exclude outlying points not in southwestern corner of Australia,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athrotaxis cupressoides,,,,,IUCN,http://www.iucnredlist.org/details/32054/0,"Endemic to Tasmania (Australia), occurring mainly on the Central Plateau, the Great Western Tier and westward mountains, more scattered in the south of the island. ",2 outlying points outside of Tasmania,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrichum undulatum,,,,,Smith & Smith (1978) = best.  Also Watson guide to british mosses: throughout UK.  Redfearn (1972) guide to mosses N.Am.: occurs in interior highlands of N.Am,"see downloaded pdfs.  Also in UBC library: STUDIES ON THE CYTOTYPES OF ATRICHUM-UNDULATUM (HEDW) BEAUV,P. .1. MORPHOLOGY AND DISTRIBUTION By: ABDERRAHMAN, S; SMITH, AJE. JOURNAL OF BRYOLOGY  Volume: 12   Pages: 265-271   Part: 2   Published: 1982","Best description comes from Smith & Smith (1978): var undulatum: C Europe, Asia, Algeria, Maderira, Azores, N America.  Var minus: UK, Europe, N ASia, N America.  var gracillisetum some counties of UK, Europe, Caucas, Siberia, Japan, Phillipines, N America.  Jenn found ref saying introduced to N Am but this is a bit weird for a moss",,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex hymenelytra,,,,,USGS,http://pubs.usgs.gov/pp/p1650-g/individual_taxa/atlas_pages/Atriplex_hymenelytra.pdf,"south east California, south Navada, east Arizona",remove outlying points in mid-baja and Arizona,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex leucophylla,,,,,US Forest Service,http://www.fs.fed.us/database/feis/plants/shrub/atrlen/all.html,"Big saltbrush occurs from central California east into southern Nevada and extreme southwestern Utah and south through western and central Arizona into Baja California and Sonora, Mexico","Southern edge of distribution in Baja is unclear, and occurrence data are disjunct. Therefore remove.",remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azara integrifolia,,,,,chileflora.com,http://www.chileflora.com/Florachilena/FloraEnglish/HighResPages/EH0253.htm,Chile,Remove outliers in N. America and southern tip of Chile,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azara microphylla,,,,,"Trees in Patagonia, By Bernardo Gut",https://books.google.ca/books?id=Dw7IEoQgphgC&pg=PA117&lpg=PA117&dq=Azara+microphylla+distribution&source=bl&ots=l_t2bT0LQn&sig=tVNxNQnUTsUoPYCxDMFU7mLJ67c&hl=en&sa=X&ved=0CEQQ6AEwCmoVChMI6YLunPOSyAIVQS2ICh0dWQkM#v=onepage&q=Azara%20microphylla%20distribution&f=false,"Chile from LimarÍ Province to Aysen Province, Argentina in CHU, NE, RN, Parque National Lanin, Los Alerces, Parque National Nahuel Huapi",Outlying points outside of described range,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baccharis pilularis,,,,,US forestry service; Calflora; wikipedia,http://www.fs.fed.us/database/feis/plants/shrub/bacpil/all.html; http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=1031,"fs: outer Coast Ranges from northern Baja California, Mexico, and San Diego County, California, north to Tillamook County, Oregon (ie almost at N Oregon border). The species also occurs in the Channel Islands and as isolated populations in the Cascade and Sierra Nevada foothills from Butte County to Tuolumne County, California [29,47].  Calflora: throughout coastal california, into central Cali. Wikip: native to California, Oregon, Washington, and Baja California.[3] There are reports of isolated populations in New Mexico, most likely introduced.[4] [5][6]",overall polygon should be fine if excl point in BC,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,,,,,Australian National Herbarium,https://www.anbg.gov.au/gnp/interns-2006/banksia-aemula.html,"Banksia aemula can be found in Queensland and New South Wales, from Bundaberg to Sydney, in coastal heath on sandy soil",2 southern outliers outside of described range,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia marginata,,,,,Australian Native Plants Society,http://anpsa.org.au/b-mar.html,"Coastal heaths, forest and woodland in New South Wales, Victoria, Tasmania and South Australia.",outlier in WA,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauera rubioides,,,,,Australian Native Plants Society,http://anpsa.org.au/b-rub.html,,"Forests and heaths of Queensland, New South Wales, Victoria, Tasmania and South Australia",fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berberis empetrifolia,,,,,Chile flora,http://www.chileflora.com/Florachilena/FloraEnglish/HighResPages/EH0047.htm,,Southern half of Chile,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berberis lutea,,,,,missouri botanical garden,http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=Berberis+lutea,Colombia to Bolivia,outlier in Antarctica,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum penna-marina,,,,,hardyfernlibrary.com,http://hardyfernlibrary.com/ferns/listSpecies.cfm?Auto=104,"Argentina, Chile, New Zealand, southeastern Australia",Points in sourthern hemisphere seem fine,partial.range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachythecium rutabulum,,,,,Berkley Herbarium; Flora of N.Am,http://ucjeps.berkeley.edu/cgi-bin/get_moss_treatment.pl?taxon=Brachythecium%20rutabulum; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200002252,"BH gives range map for Cali only: S RL = point conception, N RL = N of california.  Flora NA: B.C., N.B., Nfld. and Labr., N.S., Ont., Que.; Ala., Ark., Conn., Del., D.C., Idaho, Ill., Maine, Md., Mass., Mich., Minn., Miss., Mo., Mont., Nebr., N.H., N.J., N.Y., N.C., N.Dak., Ohio, Pa., R.I., S.Dak., Tenn., Vt., Va., W. Va., Wis., Wyo.; Central America; Eurasia; n Africa; Atlantic Islands; Pacific Islands (Hawaii, New Zealand); Australia.  1st page of Web of sci refs place in: Poland, Slovakia, N Spain, Croatia, Switzerland,  Kosovo, Greece, Germany.  didnt go beyond that as already missing the southern RL","have great range description for N.Am but all gbif records and thermal tol specimen come from europe, where missing southern range limit (goes at least as far south as northern spain)",remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodoa intestiniformis,,,,,North american lichen herbaria,http://lichenportal.org/portal/taxa/index.php?taxon=63000,"circumpolar, arctic and northern boreal and alpine regions to the south.  Abdelkrim Lichen list of Morrocco donêt list, nor does complete lichen flora of Israel, nor does study of lichens of greece although only look on some substrates.  Is listed in Catalogue of lichens if Italy (Nimis 1993, google books) cant see whole range descroption but says ""wide distrbution in Europe, from northernmost Scandinavia to...",North American range lacking coverage,partial.range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus rubens,,,,,"US Forestry Service, United States Department of Agriculture; Invasive Species Compendium",http://www.fs.fed.us/database/feis/plants/graminoid/brospp/all.html; http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?7864; http://www.cabi.org/isc/datasheet/10033,"Red brome is native to southern Europe [80]. In North America, it is distributed from central Washington south to Baja California and east to central Idaho, southwestern Texas, and Sonora [66,84]. It is casually adventive in the Northeast [36] and introduced in Hawaii [75]. PLANTS database provides distributional maps of foxtail chess and of red brome.","Not native to North America or Australia. Points in North and Eastern Europe are suspicious.Remove points in Japan and Argentina. Naturalized outside of its range in UK, Australia, US, and Argentina. According to country list in CABI, remove points from UK, Belgium, and Denmark.",excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,,,,,US Forestry Service,http://www.fs.fed.us/database/feis/plants/graminoid/brotec/all.html,"The native range of cheatgrass encompasses much of Europe, the northern rim of Africa, and southwestern Asia [246,321]. Cheatgrass can now be found throughout most of Europe to southern Russia and western Asia. It has also been introduced to North America, temperate South America, Japan, South Africa, Australia, New Zealand, and Iceland [321,438,492].",,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursaria spinosa,,,,,Florabank,http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Bursaria_spinosa.htm,"Victoria, NSW, Tas, and Queensland",Point in WA to remove,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callicoma serratifolia,,,,,PlantNET (New South Wales Floral online),http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Callicoma~serratifolia,"NSW: Grows mainly in rainforest and on its margins, often in regrowth, common along creeks and rocky gullies; North from Batemans Bay (35 42degreees S lat) into south east QLD",excl point in Nam,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callistemon viridiflorus,,,,,Royal Horticultural Soc,https://www.rhs.org.uk/Plants/2697/Callistemon-viridiflorus/Details?returnurl=%2Fplants%2Fsearch-results%3Fform-mode%3Dfalse%26query%3DCallistemon%26aliaspath%3D%252fplants%252fsearch-results,tasmania ,excl plus small outlier pop  in NSW,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitris endlicheri,,,,,gymnosperm database; florabank,http://www.conifers.org/cu/Callitris_endlicheri.php; http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Callitris_endlicheri.htm,"along the Great Dividing Range and adjacent western slopes of south eastern Australia, from the New South Wales-Victorian border, north to south east Queensland [1]. Several isolated populations occur on ranges near central Queensland, to the north of its main distribution",excl points outside Aust and in W aus,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloplaca aurantia,,,,,British lichens (private site); Czhechmycology; ,http://www.lichens.lastdragon.org/Caloplaca_aurantia.html,"in UK: predominantly in south-eastern England but extending west on sunny, limestone outcrops.  Soun & Vondrak say: C. aurantia ... grow on both inland and maritime calcareous rocks throughout the mild-temperate to subtropical zone of the Old World (e. g. Nordin 1972, Wasser and Nevo 2005)  refs include floras in Czech, Russia, Israel, Germany. Temina & Brodo (2013) confirms in Israel","northern edge looks ok(northern UK, def not on Svalbard), southern edge missing israel, E edge missing points in Russia by Geogria. get rid of points W of europe",remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloplaca ferruginea,,,,check european range,Consortium of lichen herbaria; published articles; seaweeds of alaska (weird); Temina & Brodo (2013),http://lichenportal.org/portal/taxa/index.php?taxon=56256; http://www.seaweedsofalaska.com/species.asp?SeaweedID=126,"worldwide.  Sonoran distribution from northern Sinaloa through California. gov websites have in Ireland, USA, Canada. Confirmed specimens in Norway, Alaska panhandle, Aleutian Islands, Israel. Comprehensive assessment says not on svalbard (Sochting etal 2008).  List of Australian lichens doesnt include, assume not in Oz","not on svalbard or australia, should be in S Korea but isnt",partial.range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caltha obtusa,,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1204,NZ Endemic. South Island (from Canterbury southwards),"missing v S RL if goes all the way down S island, also exxl point in ocean",excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantua buxifolia,,,,,wikipedia,,"high valleys of the yungas (a stretch of forest along the eastern slope of the Andes Mountains from Peru, Bolivia, and northern Argentina)",get rid of points outside andes,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castanea dentata,,,,,wikipedia (using USDA map),https://en.wikipedia.org/wiki/American_chestnut,"eastern N.Am from north shore of lk eerie to scattered pops lmost to gulf of MX.  = natural range, pre dutch elm disease, interestingly mature trees now more common outside its histric range as disease less prevelent",points in michigan & outside described range,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus cuneatus,,,,,Jepson Flora Project,"http://ucjeps.berkeley.edu/cgi-bin/get_JM_treatment.pl?6586,6589,6594",California Floristic Province (except Great Central Valley) : Oregon to northern Baja California,"excl point in Oz, Canada, and isolated point in Cali",excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus oliganthus,,,,,Calflora,http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Ceanothus+oliganthus,endemic to the Santa Monica Mountains of California,excl points outside California. More isolated points in central Cali are fine,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrus atlantica,,,,check where specimen is from,missouri botanical garden,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c203,"Atlas Mts of Moroco, the Rif, to Tell Atals in Algeria",excl points outside morooc and algeria,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celmisia argentea,,,,,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1610,NZ Endemic. South Island: Otago and Southland from Garvie Mountains southwards,excl point N of otago,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celmisia brevifolia,,,,know the range - could constructpolygon somehow?,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1614,NZ Endemic. South Island: Throughout. Montane to subalpine.,"excl points off NZs S Is, no records from N half of island",remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celmisia haastii,,,,,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1622,"NZ Endemic. South Island, occurring south from about North Canterbury Montane to alpine",none,fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celmisia prorepens,,,," Field guide to the alpine plants of NZ, Woodward library",library; NZ flora; Bannister etal 2005,http://www.nzflora.info/factsheet/Taxon/Celmisia_prorepens.html,"NZ endemic - no more details given on website.  Bannister etal sampled plants in 3 locations and this sp is only present in one, so might have a truly narrow range, but prob not quite enough data to know for sure.  Unless we can find a NZ plant guide book?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celmisia viscosa,,,,,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1651,NZ Endemic. South Island. Marlborough south an dmostly east of the divide. Upper montant to alpine,,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus betuloides,,,,,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250100540,"confined to western N.Am (Calflora).  In USA The plant is native to California, Baja California, Oregon, Arizona, and northwestern New Mexico. Flora of N.Am says var betuloides is Ariz, Calif, Oreg, MX (Baja Calif), while var blancheae is california only (rare in norhtern Baja) but that two are really a single taxon.  "" Varieties 3 (3 in the flora): w United States, nw Mexico. The western, spring-flowering Cercocarpus betuloides in the broad sense, centered in California, is well supported by molecular data. A total of five taxa have been recognized in recent floras; molecular data provide no support for these taxa, but instead support recognition of a single inclusive taxon.""",must be mixed in with another species - points in central  MX and central USA donêt match range map/description,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetraria aculeata,,,,could use just N.Am range if thermal tol samples come from Nam.  Sampling in africa & russia too sparse to trust eurasian range,wikipedia,,"C. aculeata has a very wide distribution. It is frequent in open polar and boreal environments from the maritime Antarctic to the high Arctic. At intermediate latitudes it is mostly found in high mountain ecosystems, as well as its distributional range also extends into forest gaps, woodland and steppe ecosystems, or coastal and riparian sand deposits of the Mediterranean and temperate zones.",could use just N.Am range if thermal tol samples come from Nam.  Sampling in africa & russia too sparse to trust eurasian range,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chionohebe thomsonii,,no occurrences,,,.,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cineraria saxifraga,,,,,plantZA,http://www.plantzafrica.com/plantcd/cinersax.htm,"Cineraria saxifraga occurs naturally from Swellendam (20 deg log) in the Western Cape to the Eastern Cape, where it usually grows on rocky slopes in the shade. ",get ird of piont in Oz,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladonia convoluta,,,,,wikipedia,https://it.wikipedia.org/wiki/Cladonia_convoluta,"throughout erope but also lgeria, canary islands, morocco, usrael, tunisia (lichens of isreal website says def in israel)",missing southern part of range in N Africa,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladonia foliacea,,,,,Pino-Bodas etal (2010),,"Europe incl Uk, italy, sweden, ireland, spain, Ä but probably mixed up with C convoluta",taxonomy problems,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladonia furcata,,,,,wikipedia,http://lichenportal.org/portal/taxa/index.php?taxon=53413,"lichen prtaol ""all continents except Antarctica"".  Wiki: In North America, it is found from Alaska[2] to California, and is very common in the west Cascade range.",missing N Am range,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladonia gracilis,,,,use N.Am range only?,Lichen portal; Ahti (1980) taxonomic revision of Cladonia gracilis and its allies; Atalks of living Australia,http://lichenportal.org/portal/taxa/index.php?taxon=53416; http://bie.ala.org.au/species/urn:lsid:catalogueoflife.org:taxon:2e94cda9-4661-11e1-9b0d-e752e483e0da:col20120124; https://data.aad.gov.au/aadc/biodiversity/taxon_profile.cfm?taxon_id=101338,"Asia, Europe and North America. Ahti (1980) revises taxonomy and divides remaining sp into 6 subspp incl: southern Australia, Alaska, Greenland, USA (washington, smoky Mts, Montana), Canada (BC).  So, range disjuct.  European range almost certainly incomplete as should include russia where sampling sucks.  mght also occur on antarctica.  use NAm range only? but sampled from europe so remove.",european range (where spp sampled) incomplete,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladonia oceanica,,,,check naming in gbif,,,,,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladonia rangiformis,,,,use if occurrs everywhere?,Consortium of N Am lichen herbaria,,everywhere: Africa (incl Madagascar) | Eurasia _ Asia Extratropical | Eurasia _ Europe | Americas _ North America (incl Mexico) | Americas _ South and Central America | Eurasia _ Asia Tropical | Arctic. incl isreal (isreali lichen website),,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladonia skottsbergii,,,,,.,.,.,,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collema auriculatum,,,,,Consortium of N Am lichen herbaria (THEY HAVE PROPER NAME AS C AURIFORME),,"Eurasia _ Europe | Americas _ North America (incl Mexico) | Americas _ South and Central America | Arctic.  Book on plnts of BC include it, Israel lichen website has it (under C auriforme), in Morocco (Abdelkrim etal 2013)",,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colutea arborescens,,,,naturalized N of original range - what to do?,"Plants for a future, wikipedia",http://www.pfaf.org/user/Plant.aspx?LatinName=Colutea+arborescens; http://en.hortipedia.com/wiki/Colutea_arborescens,wikipedia: Europe & N Africa (introduced to N Am). PFAF: S Europe - Mediterranean (naturalized in UK); horticulture wiki: native to the whole of Europe with the exception of the British Isles and North Europe and is naturalized in the British Isles.  Ourarhi (2011),mising S RL in algeria but have in morocco. Has spread N of original meditereanean range - what to do?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprosma lucida,,,,,wiki,http://nzetc.victoria.ac.nz/tm/scholarly/tei-KerKing-t1-back-d1-d4.html,"native to NZ. Uwell: widely distributed all over the central portion of North Island, especially in forests of Kamianawa Mountains and Western Taupo; grows up to altitude of 3000 feet.  NZ native platn centre: common shrub found in scrub and forests throughout New Zealand",remove points outside NZ,country.codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprosma perpusilla,,,,,PlantNET; atlas of living australia,http://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:apni.taxon:96104,"The plant occurs in New Zealand, in Australia where it is native to the states of New South Wales, Victoria and Tasmania,[3] and to the subantarctic islands of Macquarie, Campbell, the Aucklands and the Antipodes. It grows in various habitats in alpine and subalpine regions",,fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprosma repens,,,,,wikipedia,,"The species is native to the North Island, South Island, Kermadec Islands and Three Kings Islands in New Zealand.[6] In Australia it has become naturalised in coastal areas of Victoria, New South Wales, South Australia and Tasmania,[4] to the extent that it is now classified as an environmental weed.",excl points outside NZ,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora pavonia,,,,,.,,.,very sparsely sampled for huge range,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correa decumbens,,,,,state herbarium of S Australia,http://www.flora.sa.gov.au/cgi-bin/texhtml.cgi?form=speciesfacts&family=Rutaceae&genus=Correa&species=decumbens,"endemic to S Australia: SL, KI",excl points in inland australia,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crinodendron hookerianum,,,,missing 1 deg lat for remaining points,wikipedia,,"endemic to Chile, where it occurs from Cautin to Palena (38 to 43çS)",excl points outsdie range.  ,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cunonia capensis,,,,?,PlantZA,http://www.plantzafrica.com/plantcd/cunoncapen.htm,"afromontane forests of Southern Africa: along the coast and adjacent inland areas from the Western Cape eastwards to Mozambique.  Wikipedia: Cunonia capensis naturally ranges from Cape Town and the Western Cape of South Africa, eastwards all the way to Swaziland and southern Mozambique.  BUT not listed in flora of mozambique http://www.mozambiqueflora.com or swaziland http://www.sntc.org.sz/flora/botanical.asp",excl points outside southern Africa & single point in interior Safrica.  No points in swaziland or mozambique,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
