genus_species,latitude,longitude
Dicentrarchus labrax,36.76,35.71
Dicentrarchus labrax,38.82,-9
Morone chrysops,38.34,-90.37
Morone chrysops,42.08,-81.34
Morone chrysops,NA,NA
Morone saxatilis,45.37,-63.26
Morone saxatilis,35.66,-97.47
Morone saxatilis,41.24,-73.92
Chelon subviridis,13.21,100.93
Chelon subviridis,11.49,79.77
Mugil cephalus,21.37,-157.98
Mugil cephalus,12.56,80.18
Mugil cephalus,31.29,-113.54
Gobionotothen gibberifrons,-64,-64.06
Gobionotothen gibberifrons,-64.1,-62.6
Gobionotothen gibberifrons,-64.77,-64.06
Lepidonotothen squamifrons,-64,-64.06
Lepidonotothen squamifrons,-64.77,-64.06
Notothenia coriiceps,-64,-64.06
Notothenia coriiceps,-64.1,-62.6
Notothenia coriiceps,-64.77,-64.06
Notothenia coriiceps,-64,NA
Pagothenia borchgrevinki,-77.5,165
Pagothenia borchgrevinki,-77.51,166.38
Trematomus bernacchii,-77,165
Trematomus bernacchii,-77.51,166.38
Trematomus hansoni,-77,165
Trematomus hansoni,-77.51,166.38
Hypomesus transpacificus,37.86,-122.37
Hypomesus transpacificus,37.9,-122.32
Osmerus mordax,42.08,-81.34
Osmerus mordax,51.51,-86.68
Etheostoma blennioides,NA,NA
Etheostoma blennioides,42.6,-78.47
Etheostoma caeruleum,NA,NA
Etheostoma caeruleum,42.6,-78.47
Etheostoma flabellare,NA,NA
Etheostoma flabellare,39.97,-82.81
Etheostoma flabellare,42.6,-78.47
Etheostoma flabellare,39.51,-84.65
Etheostoma nigrum,39.3,-105.47
Etheostoma nigrum,42.6,-78.47
Etheostoma nigrum,38.32,-92.54
Etheostoma nigrum,40.42,-104.6
Etheostoma nigrum,39.51,-84.65
Etheostoma spectabile,NA,NA
Etheostoma spectabile,34.28,-96.7
Etheostoma spectabile,34.61,-96.63
Etheostoma spectabile,35.91,-78.78
Etheostoma spectabile,35.66,-97.47
Gymnocephalus cernua,52.29,18.24
Gymnocephalus cernua,NA,NA
Perca flavescens,36.94,-81.05
Perca flavescens,43.64,-79.49
Perca flavescens,41.65,-82.83
Perca flavescens,46.62,-92.65
Perca flavescens,42.08,-81.34
Perca flavescens,NA,NA
Perca fluviatilis,58.44,38.42
Perca fluviatilis,52.29,18.24
Perca fluviatilis,52.34,18.35
Sander vitreus,45.45,-94.43
Sander vitreus,42.08,-81.34
Sander vitreus,47.5,-100.48
Sander vitreus,40.83,-92.88
Sander vitreus,34.37,-89.52
Sander vitreus,NA,NA
Gambusia affinis,NA,NA
